Building ID,kg CO2
NDRC Building,10688790.457910456
People's Hall,5985337.822099138
Benxi Central Hospital,5494109.620761464
Benxi Intermediate People's Court,5092158.450660168
Benxi State Taxation Bureau,4193302.6766064125
Fumeng County People's Hospital Building 2,4160506.7053975854
Building 7,3660170.292056656
Benxi Municipal People's Government Office Building,3408368.4592309087
Provincial Government No.2 Courtyard Complex,3071298.412196317
Shenyang Agricultural University Library,2955125.8017610577
