Hour,Average Saveable Energy by Hour of Day (kWh)
0,26189.717500022696
1,5799.622136584796
2,6115.033447373578
3,5046.971788591349
4,14672.813731294764
5,5839.125705364604
6,7393.440388864591
7,10502.516259720378
8,15562.355448009908
9,7650.271120216304
10,9086.053236817104
11,12308.962819066657
12,13881.53045079246
13,4317.06786581711
14,6102.95964149611
15,13959.29408562323
16,6158.222411322468
17,9203.87552977204
18,6046.495734035024
19,6827.24251238233
20,5788.584192215008
21,11156.1616553473
22,13536.378148375667
23,4074.1729541175514
