building_id,excess
Fuxin Qinghemen District Government,1314178.230513032
Benxi Central Hospital,1202735.8704291782
Shenyang Agricultural University Library,1155951.2399967243
Building 7,711219.3614570622
Benxi Municipal People's Government Office Building,321364.7946825205
Dalian Jiaotong University Library,304323.5850022915
Dalian Transportation Bureau Pikou Port Building,289587.59040299646
No.3 Box Transformer,182692.17501950747
Changtu County People's Court Office Building,154540.55620338186
Provincial Government No.2 Courtyard Complex,151253.99574883535
People's Hall,148547.49255643063
Shenyang Education Bureau,143720.18567560773
Tieling Municipal People's Congress Office Building,127018.58687353358
Fumeng County People's Hospital Building 2,123134.25747485831
Tieling Municipal CPPCC Office Building,81249.71955753551
Yingkou Letters and Calls Bureau,80599.50226410618
Dandong Third Hospital,77242.12833577555
Minggou Shopping Mall,75834.22165909634
Tieling Municipal Direct Organs Annex A Building,72080.83312083466
Dandong Urban-Rural Development Commission,68851.94220989366
Liaoning University of Technology Library,66566.55336973198
Liaoning Earthquake Agency Complex,64552.43464797018
Dandong Zhenxing District Committee,61902.91504152396
Dalian Medical University Library,48305.60753891268
Shenyang Quality and Technical Supervision Bureau,43110.53059655204
Liaoning Medical University Library,34796.84842914
Dandong Local Taxation Bureau Office Building,33911.465382098075
Canteen,26869.16816249967
Liaoning Architectural Design and Research Institute,25217.833998114
Dalian Jiaotong University Laboratory Building,23972.807280268637
Benxi Public Security Bureau Office Building,23948.244407713006
Tieling Municipal Direct Organs Annex B Building,16048.152421730734
Benxi Human Resources and Social Security Bureau,11836.443149657098
People's Hall Annex Building,9290.075390552542
Liaoning Bureau of Geology and Mineral Exploration Land and Resources Office Building,8720.380408400699
Liaoning Earthquake Agency Office Building,6630.714772740277
Benxi State Taxation Bureau,2568.307558528468
Shenyang University of Chemical Technology Library,2330.827914029207
Dandong Municipal Party Committee Office Building,1609.612505136014
Liaoning Forestry Department Science and Technology Training Center Complex,-3.163261932633013
Shenyang Shuguang Building Tower A,-23.464388756620025
No.7 Box Transformer,-4526.113337411567
Liaoyang No.1 Middle School Mingde Building,-4593.770448693212
Liaoning Academy of Analytical Sciences,-8782.238454298378
Benxi Xihu District Government,-9708.144522731618
Fuxin Fourth People's Hospital,-14456.278348317905
Liaoning Institute of Science and Technology Office Building,-20986.8775338134
Liaoning Provincial Government Second Office Main Building,-22084.08057565306
Multi-purpose Sports Hall,-22118.744028774934
Dandong Federation of Trade Unions,-22287.0252350186
"Liaoning Port and Shipping Bureau, Road Administration, Transport Bureau Office Building",-22552.823544035986
Dandong Municipal Government Complex,-24917.209399165273
Liaoxing Building,-34913.12400731999
Dandong Municipal People's Congress,-37889.231252910075
Liaoning Provincial Department of Transportation Highway Administration,-39369.69505151273
NDRC Building,-41134.54633729
Liaoning Provincial Party School Wenxing Building,-58499.37805775735
Benxi Intermediate People's Court,-102346.92680466303
