,building_id,excess,actual,predicted
132,Fuxin Qinghemen District Government,638396.20455237,655870.14595862,17473.941
735,Fuxin Qinghemen District Government,627426.71236487,655870.14595862,28443.434
492,Benxi Central Hospital,510995.13033362,655870.14595862,144875.02
891,Shenyang Agricultural University Library,363676.450306139,495960.715931139,132284.27
961,Shenyang Agricultural University Library,300343.753613664,515130.941113664,214787.19
1251,No.3 Box Transformer,229302.811200395,282489.096356645,53186.285
874,Benxi Central Hospital,224327.78167350404,593806.781673504,369479.0
1051,Building 7,208717.91574763902,389829.040747639,181111.12
590,Benxi Central Hospital,192640.43792350404,593806.781673504,401166.34
460,Shenyang Agricultural University Library,191527.54026122502,312485.438698725,120957.9
